Issue-ID,Beschreibung,Status,Schweregrad,Story Points,Projektpfad,Art des Speicherorts,Pfad,Linie,Spalte,Incident-ID,Hilfelink,Assemblyname,Assemblyversion,Öffentlicher Schlüssel für Assembly.,Ausschnitt
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,186,12,T:System.Windows.Controls.SelectionChangedEventHandler,,,,,this.cbTargetFormat.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.cbTargetFormat_SelectionChanged);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,186,12,T:System.Windows.Controls.SelectionChangedEventHandler,,,,,this.cbTargetFormat.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.cbTargetFormat_SelectionChanged);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,186,12,E:System.Windows.Controls.Primitives.Selector.SelectionChanged,,,,,this.cbTargetFormat.SelectionChanged += new System.Windows.Controls.SelectionChangedEventHandler(this.cbTargetFormat_SelectionChanged);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,183,12,T:System.Windows.Controls.ComboBox,,,,,this.cbTargetFormat = ((System.Windows.Controls.ComboBox)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,177,12,T:System.Windows.Controls.Button,,,,,this.btnClearFiles.Click += new System.Windows.RoutedEventHandler(this.btnClearFiles_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,177,12,T:System.Windows.RoutedEventHandler,,,,,this.btnClearFiles.Click += new System.Windows.RoutedEventHandler(this.btnClearFiles_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,177,12,T:System.Windows.RoutedEventHandler,,,,,this.btnClearFiles.Click += new System.Windows.RoutedEventHandler(this.btnClearFiles_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,177,12,E:System.Windows.Controls.Primitives.ButtonBase.Click,,,,,this.btnClearFiles.Click += new System.Windows.RoutedEventHandler(this.btnClearFiles_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,174,12,T:System.Windows.Controls.Button,,,,,this.btnClearFiles = ((System.Windows.Controls.Button)(target));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,168,12,T:System.Windows.Controls.Button,,,,,this.btnRemoveFiles.Click += new System.Windows.RoutedEventHandler(this.btnRemoveFiles_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,168,12,T:System.Windows.RoutedEventHandler,,,,,this.btnRemoveFiles.Click += new System.Windows.RoutedEventHandler(this.btnRemoveFiles_Click);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,MortysDLP.csproj,File,obj\Debug\net9.0-windows7.0\Views\ConvertWindow.g.i.cs,168,12,T:System.Windows.RoutedEventHandler,,,,,this.btnRemoveFiles.Click += new System.Windows.RoutedEventHandler(this.btnRemoveFiles_Click);
